Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
100,2025-06-20 17:09:09.114079,16,70,777,1.000,82.19,77.50,137.00,1315.00,14.64,284,17.75,0.217,0.000012,0.000014,0.000011,0.000011,0.000011,0.000012,4.38,18.79,11.10,82.19,17.75
101,2025-06-20 17:09:09.114287,16,70,778,1.000,81.44,77.00,132.50,1303.00,13.71,285,17.81,0.216,0.000012,0.000014,0.000011,0.000011,0.000011,0.000012,4.38,18.61,11.11,81.44,17.81
102,2025-06-20 17:09:09.114505,16,69,779,1.000,80.69,76.50,128.00,1291.00,12.78,286,17.88,0.216,0.000012,0.000014,0.000011,0.000011,0.000011,0.000012,4.31,18.71,11.29,80.69,17.88
103,2025-06-20 17:09:09.114715,15,68,780,0.938,80.20,76.00,123.50,1203.00,12.20,269,17.93,0.215,0.000012,0.000014,0.000011,0.000011,0.000010,0.000013,4.53,17.69,11.47,80.20,17.93
104,2025-06-20 17:09:09.114948,15,67,781,1.000,79.43,75.50,119.00,1191.50,11.26,270,18.00,0.214,0.000012,0.000014,0.000011,0.000011,0.000009,0.000013,4.47,17.78,11.66,79.43,18.00
105,2025-06-20 17:09:09.115159,15,64,781,1.000,78.93,75.00,118.50,1184.00,11.26,270,18.00,0.214,0.000012,0.000014,0.000012,0.000009,0.000008,0.000012,4.27,18.50,12.20,78.93,18.00
106,2025-06-20 17:09:09.115373,15,64,781,1.000,78.43,74.50,118.00,1176.50,11.26,270,18.00,0.213,0.000012,0.000014,0.000012,0.000009,0.000008,0.000012,4.27,18.38,12.20,78.43,18.00
107,2025-06-20 17:09:09.115584,15,62,781,1.000,77.93,74.00,117.50,1169.00,11.26,270,18.00,0.212,0.000012,0.000014,0.000011,0.000010,0.000008,0.000013,4.13,18.85,12.60,77.93,18.00
108,2025-06-20 17:09:09.115791,15,61,781,1.000,77.43,73.50,117.00,1161.50,11.26,270,18.00,0.211,0.000012,0.000013,0.000011,0.000011,0.000007,0.000013,4.07,19.04,12.80,77.43,18.00
109,2025-06-20 17:09:09.115995,15,60,781,1.000,76.93,73.00,116.50,1154.00,11.26,270,18.00,0.211,0.000011,0.000013,0.000012,0.000011,0.000007,0.000013,4.00,19.23,13.02,76.93,18.00
110,2025-06-20 17:09:09.116201,15,58,781,1.000,76.43,72.50,116.00,1146.50,11.26,270,18.00,0.210,0.000011,0.000013,0.000012,0.000011,0.000007,0.000013,3.87,19.77,13.47,76.43,18.00
